x-coordinate,y-coordinate
-4.57E-01,-2.86E-02
1.13E+00,-4.53E-01
6.50E-01,2.80E-01
7.74E-02,9.87E-05
1.22E+00,-1.57E-01
8.25E-01,-6.42E-02
8.88E-01,-2.58E-01
1.37E+00,3.02E-01
6.00E-01,-4.10E-01
1.18E+00,2.37E-01
-2.86E-01,7.22E-02
1.35E+00,5.00E-01
1.26E+00,-4.31E-01
9.76E-01,-2.18E-02
6.00E-01,-4.98E-01
1.24E+00,4.75E-01
7.00E-01,1.93E-01
-3.92E-01,2.58E-01
-3.28E-01,-1.79E-01
2.61E-01,-3.01E-01
1.03E+00,-4.98E-01
1.50E-01,-4.96E-01
1.08E+00,-4.10E-01
-2.25E-01,4.96E-01
1.35E+00,-4.98E-01
1.20E+00,1.77E-01
3.12E-01,1.40E-01
5.25E-01,-1.08E-01
6.12E-01,4.75E-01
7.63E-01,-4.75E-01
5.50E-01,-3.66E-01
1.16E+00,-2.58E-01
1.48E+00,1.41E-01
-3.90E-02,-1.27E-01
1.31E+00,4.75E-01
7.62E-01,4.31E-01
1.04E+00,-1.10E-02
1.87E-01,4.75E-01
5.00E-02,-5.00E-01
2.50E-01,4.97E-01
