EPOCH :      0/ 50001 | Loss_PDE : 1368130.2500| Loss_DATA : 62.0491 | RHO : 99.9900 | VIS : 0.004990
EPOCH :   1000/ 50001 | Loss_PDE : 500653.3750| Loss_DATA : 5270.4365 | RHO : 99.9284 | VIS : 0.004959
EPOCH :   2000/ 50001 | Loss_PDE : 142399.1250| Loss_DATA : 2506.1128 | RHO : 99.9284 | VIS : 0.004959
EPOCH :   3000/ 50001 | Loss_PDE : 26017.0703| Loss_DATA : 893.5706 | RHO : 99.9284 | VIS : 0.004958
EPOCH :   4000/ 50001 | Loss_PDE : 13886.2461| Loss_DATA : 217.8301 | RHO : 99.9284 | VIS : 0.004954
EPOCH :   5000/ 50001 | Loss_PDE : 1542.6641| Loss_DATA : 96.9550 | RHO : 99.9284 | VIS : 0.004942
EPOCH :   6000/ 50001 | Loss_PDE : 236.2240| Loss_DATA : 53.3144 | RHO : 99.9284 | VIS : 0.004942
EPOCH :   7000/ 50001 | Loss_PDE : 131.6597| Loss_DATA : 49.2613 | RHO : 99.9284 | VIS : 0.004942
EPOCH :   8000/ 50001 | Loss_PDE : 144.9308| Loss_DATA : 49.2859 | RHO : 99.9284 | VIS : 0.004941
EPOCH :   9000/ 50001 | Loss_PDE : 76.8685| Loss_DATA : 48.5262 | RHO : 99.9284 | VIS : 0.004941
EPOCH :  10000/ 50001 | Loss_PDE : 6211.4756| Loss_DATA : 1318.7559 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  11000/ 50001 | Loss_PDE : 3279.7078| Loss_DATA : 85.8089 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  12000/ 50001 | Loss_PDE : 2134.8379| Loss_DATA : 64.6611 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  13000/ 50001 | Loss_PDE : 1401.7612| Loss_DATA : 64.6316 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  14000/ 50001 | Loss_PDE : 916.1857| Loss_DATA : 64.6309 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  15000/ 50001 | Loss_PDE : 581.3530| Loss_DATA : 64.6303 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  16000/ 50001 | Loss_PDE : 369.7144| Loss_DATA : 64.6299 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  17000/ 50001 | Loss_PDE : 227.8184| Loss_DATA : 64.6295 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  18000/ 50001 | Loss_PDE : 141.5458| Loss_DATA : 64.6292 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  19000/ 50001 | Loss_PDE : 87.8792| Loss_DATA : 64.6290 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  20000/ 50001 | Loss_PDE : 53.0451| Loss_DATA : 64.6288 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  21000/ 50001 | Loss_PDE : 32.8454| Loss_DATA : 64.6286 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  22000/ 50001 | Loss_PDE : 20.7636| Loss_DATA : 64.6285 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  23000/ 50001 | Loss_PDE : 12.3041| Loss_DATA : 64.6283 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  24000/ 50001 | Loss_PDE : 7.3748| Loss_DATA : 64.6278 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  25000/ 50001 | Loss_PDE : 4.6390| Loss_DATA : 64.6268 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  26000/ 50001 | Loss_PDE : 2.6564| Loss_DATA : 64.6246 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  27000/ 50001 | Loss_PDE : 1.7191| Loss_DATA : 64.6203 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  28000/ 50001 | Loss_PDE : 1.0667| Loss_DATA : 64.6126 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  29000/ 50001 | Loss_PDE : 0.6286| Loss_DATA : 64.5986 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  30000/ 50001 | Loss_PDE : 0.4467| Loss_DATA : 64.5743 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  31000/ 50001 | Loss_PDE : 0.3305| Loss_DATA : 64.5328 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  32000/ 50001 | Loss_PDE : 0.1610| Loss_DATA : 64.4625 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  33000/ 50001 | Loss_PDE : 0.0716| Loss_DATA : 64.3464 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  34000/ 50001 | Loss_PDE : 0.0454| Loss_DATA : 64.1577 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  35000/ 50001 | Loss_PDE : 0.0251| Loss_DATA : 63.8523 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  36000/ 50001 | Loss_PDE : 0.0135| Loss_DATA : 63.3640 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  37000/ 50001 | Loss_PDE : 0.0087| Loss_DATA : 62.5996 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  38000/ 50001 | Loss_PDE : 0.0062| Loss_DATA : 61.4290 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  39000/ 50001 | Loss_PDE : 0.0048| Loss_DATA : 59.7367 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  40000/ 50001 | Loss_PDE : 0.0032| Loss_DATA : 57.4609 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  41000/ 50001 | Loss_PDE : 0.0025| Loss_DATA : 54.7125 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  42000/ 50001 | Loss_PDE : 0.0007| Loss_DATA : 52.2743 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  43000/ 50001 | Loss_PDE : 0.0003| Loss_DATA : 49.1054 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  44000/ 50001 | Loss_PDE : 0.0003| Loss_DATA : 46.8241 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  45000/ 50001 | Loss_PDE : 0.0004| Loss_DATA : 45.2362 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  46000/ 50001 | Loss_PDE : 0.0000| Loss_DATA : 44.5875 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  47000/ 50001 | Loss_PDE : 0.0000| Loss_DATA : 44.3894 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  48000/ 50001 | Loss_PDE : 0.0000| Loss_DATA : 44.3808 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  49000/ 50001 | Loss_PDE : 0.0000| Loss_DATA : 44.3879 | RHO : 99.1909 | VIS : 0.004323
EPOCH :  50000/ 50001 | Loss_PDE : 0.0000| Loss_DATA : 44.3807 | RHO : 99.1909 | VIS : 0.004323

Final learned rho: 99.1909
Final learned viscosity: 0.004323
model saved
