EPOCH :      0/ 50001 | Loss_PDE : 1.6241| Loss_DATA : 7.2134 | RHO : 11.1915 | VIS : -0.000587
EPOCH :   1000/ 50001 | Loss_PDE : 1.8175| Loss_DATA : 6.6940 | RHO : 11.3215 | VIS : -0.000587
EPOCH :   2000/ 50001 | Loss_PDE : 1.8945| Loss_DATA : 6.6395 | RHO : 11.4486 | VIS : -0.000589
EPOCH :   3000/ 50001 | Loss_PDE : 2.1583| Loss_DATA : 6.6067 | RHO : 11.5448 | VIS : -0.000590
EPOCH :   4000/ 50001 | Loss_PDE : 2.3275| Loss_DATA : 6.5747 | RHO : 11.6404 | VIS : -0.000592
EPOCH :   5000/ 50001 | Loss_PDE : 1.8855| Loss_DATA : 6.5481 | RHO : 11.7224 | VIS : -0.000593
EPOCH :   6000/ 50001 | Loss_PDE : 1.9239| Loss_DATA : 6.5290 | RHO : 11.7973 | VIS : -0.000594
EPOCH :   7000/ 50001 | Loss_PDE : 1.8714| Loss_DATA : 6.5132 | RHO : 11.8708 | VIS : -0.000595
EPOCH :   8000/ 50001 | Loss_PDE : 1.8905| Loss_DATA : 6.4986 | RHO : 11.9349 | VIS : -0.000596
EPOCH :   9000/ 50001 | Loss_PDE : 1.9646| Loss_DATA : 6.4872 | RHO : 12.0021 | VIS : -0.000596
EPOCH :  10000/ 50001 | Loss_PDE : 3.1972| Loss_DATA : 6.4754 | RHO : 12.0629 | VIS : -0.000596
EPOCH :  11000/ 50001 | Loss_PDE : 1.9107| Loss_DATA : 6.4618 | RHO : 12.1150 | VIS : -0.000596
EPOCH :  12000/ 50001 | Loss_PDE : 1.8771| Loss_DATA : 6.4531 | RHO : 12.1637 | VIS : -0.000596
EPOCH :  13000/ 50001 | Loss_PDE : 2.5406| Loss_DATA : 6.4459 | RHO : 12.2138 | VIS : -0.000596
EPOCH :  14000/ 50001 | Loss_PDE : 1.8988| Loss_DATA : 6.4369 | RHO : 12.2629 | VIS : -0.000596
EPOCH :  15000/ 50001 | Loss_PDE : 1.8740| Loss_DATA : 6.4266 | RHO : 12.3058 | VIS : -0.000596
EPOCH :  16000/ 50001 | Loss_PDE : 1.8736| Loss_DATA : 6.4186 | RHO : 12.3452 | VIS : -0.000596
EPOCH :  17000/ 50001 | Loss_PDE : 2.0785| Loss_DATA : 6.4186 | RHO : 12.3862 | VIS : -0.000596
EPOCH :  18000/ 50001 | Loss_PDE : 1.8720| Loss_DATA : 6.4018 | RHO : 12.4240 | VIS : -0.000596
EPOCH :  19000/ 50001 | Loss_PDE : 1.8884| Loss_DATA : 6.3951 | RHO : 12.4575 | VIS : -0.000596
EPOCH :  20000/ 50001 | Loss_PDE : 1.8846| Loss_DATA : 6.3893 | RHO : 12.4892 | VIS : -0.000596
EPOCH :  21000/ 50001 | Loss_PDE : 1.8691| Loss_DATA : 6.3814 | RHO : 12.5239 | VIS : -0.000596
EPOCH :  22000/ 50001 | Loss_PDE : 1.8784| Loss_DATA : 6.3767 | RHO : 12.5481 | VIS : -0.000596
EPOCH :  23000/ 50001 | Loss_PDE : 1.8648| Loss_DATA : 6.3691 | RHO : 12.5828 | VIS : -0.000595
EPOCH :  24000/ 50001 | Loss_PDE : 1.8644| Loss_DATA : 6.3618 | RHO : 12.6154 | VIS : -0.000596
EPOCH :  25000/ 50001 | Loss_PDE : 2.2136| Loss_DATA : 6.3549 | RHO : 12.6441 | VIS : -0.000596
EPOCH :  26000/ 50001 | Loss_PDE : 1.8725| Loss_DATA : 6.3499 | RHO : 12.6681 | VIS : -0.000596
EPOCH :  27000/ 50001 | Loss_PDE : 2.1945| Loss_DATA : 6.3453 | RHO : 12.6934 | VIS : -0.000596
EPOCH :  28000/ 50001 | Loss_PDE : 2.1485| Loss_DATA : 6.3393 | RHO : 12.7186 | VIS : -0.000596
EPOCH :  29000/ 50001 | Loss_PDE : 1.8605| Loss_DATA : 6.3303 | RHO : 12.7478 | VIS : -0.000596
EPOCH :  30000/ 50001 | Loss_PDE : 1.8578| Loss_DATA : 6.3250 | RHO : 12.7734 | VIS : -0.000597
EPOCH :  31000/ 50001 | Loss_PDE : 3.1073| Loss_DATA : 6.3204 | RHO : 12.7951 | VIS : -0.000597
EPOCH :  32000/ 50001 | Loss_PDE : 2.2798| Loss_DATA : 6.3192 | RHO : 12.8131 | VIS : -0.000597
EPOCH :  33000/ 50001 | Loss_PDE : 1.9153| Loss_DATA : 6.3145 | RHO : 12.8364 | VIS : -0.000597
EPOCH :  34000/ 50001 | Loss_PDE : 1.8562| Loss_DATA : 6.3032 | RHO : 12.8542 | VIS : -0.000598
EPOCH :  35000/ 50001 | Loss_PDE : 1.9983| Loss_DATA : 6.2981 | RHO : 12.8815 | VIS : -0.000598
EPOCH :  36000/ 50001 | Loss_PDE : 1.8507| Loss_DATA : 6.2907 | RHO : 12.9000 | VIS : -0.000598
EPOCH :  37000/ 50001 | Loss_PDE : 1.9719| Loss_DATA : 6.2833 | RHO : 12.9217 | VIS : -0.000599
EPOCH :  38000/ 50001 | Loss_PDE : 1.8483| Loss_DATA : 6.2791 | RHO : 12.9389 | VIS : -0.000599
EPOCH :  39000/ 50001 | Loss_PDE : 1.8461| Loss_DATA : 6.2752 | RHO : 12.9552 | VIS : -0.000600
EPOCH :  40000/ 50001 | Loss_PDE : 1.8462| Loss_DATA : 6.2686 | RHO : 12.9773 | VIS : -0.000600
EPOCH :  41000/ 50001 | Loss_PDE : 1.8449| Loss_DATA : 6.2632 | RHO : 12.9949 | VIS : -0.000601
EPOCH :  42000/ 50001 | Loss_PDE : 1.9696| Loss_DATA : 6.2559 | RHO : 13.0168 | VIS : -0.000601
EPOCH :  43000/ 50001 | Loss_PDE : 1.8546| Loss_DATA : 6.2520 | RHO : 13.0307 | VIS : -0.000602
EPOCH :  44000/ 50001 | Loss_PDE : 1.9093| Loss_DATA : 6.2468 | RHO : 13.0474 | VIS : -0.000603
EPOCH :  45000/ 50001 | Loss_PDE : 1.9492| Loss_DATA : 6.2422 | RHO : 13.0677 | VIS : -0.000603
EPOCH :  46000/ 50001 | Loss_PDE : 1.9452| Loss_DATA : 6.2342 | RHO : 13.0908 | VIS : -0.000604
EPOCH :  47000/ 50001 | Loss_PDE : 2.3042| Loss_DATA : 6.2314 | RHO : 13.1043 | VIS : -0.000605
EPOCH :  48000/ 50001 | Loss_PDE : 4.3290| Loss_DATA : 6.2302 | RHO : 13.1255 | VIS : -0.000606
EPOCH :  49000/ 50001 | Loss_PDE : 1.9869| Loss_DATA : 6.2180 | RHO : 13.1444 | VIS : -0.000607
EPOCH :  50000/ 50001 | Loss_PDE : 1.8741| Loss_DATA : 6.2150 | RHO : 13.1527 | VIS : -0.000608

Final learned rho: 13.1527
Final learned viscosity: -0.000608
model saved
