EPOCH :      0/100001 | Loss_PDE : 1.1668| Loss_DATA : 68.5809 | Loss_BC : 0.0000 | RHO : 9.9900 | VIS : 0.011000
EPOCH :   1000/100001 | Loss_PDE : 0.6730| Loss_DATA : 37.0733 | Loss_BC : 0.0043 | RHO : 7.3797 | VIS : 0.002094
EPOCH :   2000/100001 | Loss_PDE : 1.5491| Loss_DATA : 33.7395 | Loss_BC : 0.0037 | RHO : 3.9807 | VIS : 0.161653
EPOCH :   3000/100001 | Loss_PDE : 2.7995| Loss_DATA : 27.6838 | Loss_BC : 0.0015 | RHO : 1.1618 | VIS : 0.057532
EPOCH :   4000/100001 | Loss_PDE : 3.3489| Loss_DATA : 24.2876 | Loss_BC : 0.0012 | RHO : 1.3355 | VIS : 0.023909
EPOCH :   5000/100001 | Loss_PDE : 4.0181| Loss_DATA : 22.6829 | Loss_BC : 0.0014 | RHO : 1.5936 | VIS : 0.035374
EPOCH :   6000/100001 | Loss_PDE : 3.3176| Loss_DATA : 21.0745 | Loss_BC : 0.0011 | RHO : 2.1023 | VIS : 0.038911
EPOCH :   7000/100001 | Loss_PDE : 3.2636| Loss_DATA : 19.9695 | Loss_BC : 0.0011 | RHO : 2.4609 | VIS : 0.047475
EPOCH :   8000/100001 | Loss_PDE : 5.9368| Loss_DATA : 19.2002 | Loss_BC : 0.0010 | RHO : 2.7761 | VIS : 0.055409
EPOCH :   9000/100001 | Loss_PDE : 5.7457| Loss_DATA : 18.5762 | Loss_BC : 0.0010 | RHO : 3.0085 | VIS : 0.065805
EPOCH :  10000/100001 | Loss_PDE : 3.0390| Loss_DATA : 17.9926 | Loss_BC : 0.0011 | RHO : 3.2870 | VIS : 0.077541
EPOCH :  11000/100001 | Loss_PDE : 3.0039| Loss_DATA : 17.5862 | Loss_BC : 0.0011 | RHO : 3.4645 | VIS : 0.089273
EPOCH :  12000/100001 | Loss_PDE : 3.0980| Loss_DATA : 17.2348 | Loss_BC : 0.0011 | RHO : 3.6458 | VIS : 0.101829
EPOCH :  13000/100001 | Loss_PDE : 2.9765| Loss_DATA : 16.7196 | Loss_BC : 0.0010 | RHO : 3.9919 | VIS : 0.113165
EPOCH :  14000/100001 | Loss_PDE : 2.9884| Loss_DATA : 16.3762 | Loss_BC : 0.0010 | RHO : 4.1723 | VIS : 0.123346
EPOCH :  15000/100001 | Loss_PDE : 2.9607| Loss_DATA : 16.0297 | Loss_BC : 0.0010 | RHO : 4.3676 | VIS : 0.132179
EPOCH :  16000/100001 | Loss_PDE : 3.1882| Loss_DATA : 15.7900 | Loss_BC : 0.0010 | RHO : 4.4154 | VIS : 0.135553
